city,id,latitude,longitude
Żarów,ZRO02M,50.9337378459161,16.49542989187119
Żarów,POP-ZRO4,50.94090661083602,16.49313318865024
Żarów,ZRO02A,50.93680638791203,16.493884271272048
Żarów,ZRO03M,50.937016449499666,16.49189072578429
Żarów,ZRO01BAPP,50.94115067976171,16.502664369964183
Żarów,ZRO01M,50.94086645062012,16.49571781044091
Żarów,ZRO01N,50.94113997157207,16.4936992681128
Żarów,POP-ZRO3,50.94228645103341,16.494720725784674
Choroszcz,CRS04M,53.148868175460976,22.987116593639715
Choroszcz,CRS02HP,53.15100997211745,22.992427810597825
Choroszcz,CRS01M,53.14866119952383,22.987310568268505
Choroszcz,CRS03HP,53.14788690675414,22.990185239433067
Choroszcz,CRS03M,53.14597756735103,22.993134781762077
Choroszcz,CRS01HP,53.13959156447878,22.985469368267946
Choroszcz,CRS02M,53.1394950261716,22.985276249230512
Choroszcz,CRS01BAPP,53.1344814354678,22.985555639432107
Wrocław,WRO26H,51.11328726962954,17.032964871601017
Wrocław,WRO01HO,51.112470732764194,17.040418386588417
Wrocław,WRO122M,51.10864442280285,17.04019429643629
Wrocław,WRO06HO,51.10835076717566,17.040429406315045
Wrocław,WRO02H,51.1120807691697,17.024202530546308
Wrocław,WRO88M,51.105295875369485,17.032513924223483
Wrocław,WRO105M,51.106869049991595,17.038131782616823
Wrocław,WRO05HO,51.10344271773059,17.03167008976014
Wrocław,WRO169M,51.10260118332193,17.038318790720854
Wrocław,WRO238M,51.10077077708601,17.03899967665633
Wrocław,WRO10HP,51.1007762529065,17.039001018212947
Wrocław,WRO69M,51.09963201652476,17.038516727454496
Wrocław,POP-WRO272,51.100941100491184,17.035239303907606
Wrocław,POP-WRO219,51.100188226434554,17.03527793725251
Wrocław,POP-WRO103,51.102067673260834,17.035209784370277
Wrocław,POP-WRO261,51.110018547560905,17.028628572061397
Wrocław,WRO153M,51.10013213086964,17.03111656803804
Wrocław,WRO24H,51.10185617604387,17.0263210019023
Wrocław,POP-WRO223,51.10676681933939,17.019106457376477
Wrocław,WRO210M,51.10621430260036,17.017682175375235
Wrocław,POP-WRO147,51.10619592659191,17.016661216613038
Wrocław,WRO37BAPP,51.10448444905791,17.010737477019475
Wrocław,WRO25HP,51.10451795401458,17.00775940331345
